bjdongCd,block,bun,crtnDay,ji,jijiguCd,jijiguCdNm,jijiguGbCd,jijiguGbCdNm,jijiguNm,lot,mainDongGbCd,mainDongGbCdNm,mgmPmsrgstPk,platGbCd,platPlc,reprYn,rnum,sigunguCd,splotNm
10600, ,0001,20140322,0007,UQQ310,제1종지구단위계획구역,3,용도구역코드,제1종지구단위계획구역, ,0,전체,11110-100019465,0,서울특별시 종로구 통의동 1-7번지,1,9,11110, 
10600, ,0001,20140322,0007,ZA0006, ,3,용도구역코드,문화재보존영향 검토대상구역, ,0,전체,11110-100019465,0,서울특별시 종로구 통의동 1-7번지,0,10,11110, 
10700, ,0001,20090326,0000,0100, ,1,용도지역코드,도시지역, ,0,전체,11110-2442,0,서울특별시 종로구 적선동 1번지,1,1,11110, 
10700, ,0001,20090326,0000,1021, ,1,용도지역코드,제1종일반주거지역, ,0,전체,11110-2442,0,서울특별시 종로구 적선동 1번지,0,2,11110, 
10700, ,0001,20090326,0000,1022, ,1,용도지역코드,제2종일반주거지역, ,0,전체,11110-2442,0,서울특별시 종로구 적선동 1번지,0,3,11110, 
10700, ,0001,20090326,0000,1120, ,1,용도지역코드,일반상업지역, ,0,전체,11110-2442,0,서울특별시 종로구 적선동 1번지,0,4,11110, 
10700, ,0001,20090326,0000,102, ,2,용도지구코드,역사문화미관지구, ,0,전체,11110-2442,0,서울특별시 종로구 적선동 1번지,1,5,11110, 
10700, ,0001,20090326,0000,112, ,2,용도지구코드,최고고도지구, ,0,전체,11110-2442,0,서울특별시 종로구 적선동 1번지,0,6,11110, 
10700, ,0001,20090326,0000,130, ,2,용도지구코드,방화지구, ,0,전체,11110-2442,0,서울특별시 종로구 적선동 1번지,0,7,11110, 
10700, ,0001,20090326,0000,101, ,2,용도지구코드,중심지미관지구, ,0,전체,11110-2442,0,서울특별시 종로구 적선동 1번지,0,8,11110, 
10700, ,0017,20120815,0000,UQA122,제2종일반주거지역,1,용도지역코드,제2종일반주거지역, ,0,전체,11110-100016190,0,서울특별시 종로구 적선동 17번지,1,9,11110, 
10700, ,0017,20120815,0000,UQH110,최고고도지구,2,용도지구코드,최고고도지구, ,0,전체,11110-100016190,0,서울특별시 종로구 적선동 17번지,1,10,11110, 
