bjdongCd,block,bun,crtnDay,hjdongCd,ji,jimokCd,jimokCdNm,lot,mainDongGbCd,mainDongGbCdNm,mgmPlatPlcPk,mgmPmsrgstPk,platGbCd,platPlc,relJibunNm,reprYn,rnum,sigunguCd,splotNm,mgmDongOulnPk
10500, ,0021,20100325,520,0007, , , ,0,전체,11110-5674,11110-5300,0,서울특별시 종로구 창성동 21-7번지, ,1,10,11110, ,
10600, ,0001,20090326,530,0001,08,대, ,0,전체,11110-100006700,11110-100006488,0,서울특별시 종로구 통의동 1-1번지, ,1,1,11110, ,
10600, ,0001,20090326,530,0006, , , ,0,전체,11110-100006701,11110-100006488,0,서울특별시 종로구 통의동 1-6번지, ,0,2,11110, ,
10600, ,0001,20140322,530,0007,08,대, ,0,전체,11110-100026025,11110-100019465,0,서울특별시 종로구 통의동 1-7번지, ,1,3,11110, ,
10600, ,0002,20100325,530,0001,08,대, ,0,전체,11110-100012653,11110-100011566,0,서울특별시 종로구 통의동 2-1번지, ,1,4,11110, ,
10600, ,0002,20130327,530,0001,08,대, ,0,전체,11110-100022675,11110-100017287,0,서울특별시 종로구 통의동 2-1번지, ,1,5,11110, ,
10600, ,0002,20170413,530,0001,08,대, ,0,전체,11110-100038544,11110-100011855,0,서울특별시 종로구 통의동 2-1번지, ,1,6,11110, ,
10600, ,0006,20100325,530,0000, , , ,0,전체,11110-5743,11110-5369,0,서울특별시 종로구 통의동 6번지, ,1,7,11110, ,
10600, ,0006,20130413,530,0000,08,대, ,0,전체,11110-2672,11110-2298,0,서울특별시 종로구 통의동 6번지, ,1,8,11110, ,
10600, ,0007,20091126,530,0004,08,대, ,0,전체,11110-100011816,11110-100011144,0,서울특별시 종로구 통의동 7-4번지, ,1,9,11110, ,
10600, ,0007,20100325,530,0005, , , ,0,전체,11110-5985,11110-5611,0,서울특별시 종로구 통의동 7-5번지, ,1,10,11110, ,
10700, ,0001,20090326,530,0000,08,대, ,0,전체,11110-2816,11110-2442,0,서울특별시 종로구 적선동 1번지, ,1,1,11110, ,
10700, ,0001,20100325,530,0000, , , ,0,전체,11110-6737,11110-6363,0,서울특별시 종로구 적선동 1번지, ,1,2,11110, ,
10700, ,0002,20090326,0000, , , ,1,동별,11110-2975,11110-10849,0,서울특별시 종로구 적선동 2번지,2,0,3,11110, ,,
10700, ,0003,20090326,0000, , , ,1,동별,11110-2975,11110-10850,0,서울특별시 종로구 적선동 3번지,3,0,4,11110, ,,
10700, ,0004,20090326,0000, , , ,1,동별,11110-2975,11110-10851,0,서울특별시 종로구 적선동 4번지,4,0,5,11110, ,,
10700, ,0005,20090326,0001, , , ,1,동별,11110-2975,11110-10852,0,서울특별시 종로구 적선동 5-1번지,5-1,0,6,11110, ,,
10700, ,0005,20090326,0002, , , ,1,동별,11110-2975,11110-10853,0,서울특별시 종로구 적선동 5-2번지,5-2,0,7,11110, ,,
10700, ,0006,20090326,0000, , , ,1,동별,11110-2975,11110-10854,0,서울특별시 종로구 적선동 6번지,6,0,8,11110, ,,
10700, ,0007,20090326,0000, , , ,1,동별,11110-2975,11110-10855,0,서울특별시 종로구 적선동 7번지,7,0,9,11110, ,,
10700, ,0008,20090326,0000, , , ,1,동별,11110-2975,11110-10856,0,서울특별시 종로구 적선동 8번지,8,0,10,11110, ,,
