bjdongCd,block,bun,crtnDay,exmptUtcnt,indrAutoArea,indrAutoUtcnt,indrMechArea,indrMechUtcnt,ji,lot,mgmPmsrgstPk,neigAutoArea,neigAutoUtcnt,neigMechArea,neigMechUtcnt,oudrAutoArea,oudrAutoUtcnt,oudrMechArea,oudrMechUtcnt,platGbCd,platPlc,rnum,sigunguCd,splotNm
10200, ,0002,20120929,1,0,0,0,0,0051, ,11110-100015118,0,0,0,0,0,0,0,0,0,서울특별시 종로구 신교동 2-51번지,3,11110, 
10200, ,0002,20130220,0,0,0,0,0,0062, ,11110-100015739,0,0,0,0,12,1,0,0,0,서울특별시 종로구 신교동 2-62번지,4,11110, 
10200, ,0002,20090326,0,54,1,0,0,0084, ,11110-2851,0,0,0,0,46,4,0,0,0,서울특별시 종로구 신교동 2-84번지,5,11110, 
10200, ,0004,20111231,0,79.39,4,0,0,0002, ,11110-100013895,0,0,0,0,0,0,0,0,0,서울특별시 종로구 신교동 4-2번지,6,11110, 
10200, ,0006,20131018,0,51.75,3,0,0,0001, ,11110-100013164,0,0,0,0,0,0,0,0,0,서울특별시 종로구 신교동 6-1번지,7,11110, 
10200, ,0006,20111229,0,0,0,0,0,0002, ,11110-100014456,0,0,0,0,11.5,1,0,0,0,서울특별시 종로구 신교동 6-2번지,8,11110, 
10200, ,0006,20140411,0,0,1,0,0,0004, ,11110-4434,0,0,0,0,0,0,0,0,0,서울특별시 종로구 신교동 6-4번지,9,11110, 
10200, ,0006,20170112,0,0,1,0,0,0004, ,11110-100027098,0,0,0,0,0,0,0,0,0,서울특별시 종로구 신교동 6-4번지,10,11110, 
10300, ,0003,20090326,0,0,0,0,0,0006, ,11110-2937,0,0,0,0,35.06,2,0,0,0,서울특별시 종로구 궁정동 3-6번지,1,11110, 
10300, ,0003,20160824,0,0,0,0,0,0006, ,11110-100025156,0,0,0,0,92,8,0,0,0,서울특별시 종로구 궁정동 3-6번지,2,11110, 
10300, ,0003,20180905,0,57.5,5,0,0,0006, ,11110-100026114,0,0,0,0,34.5,3,0,0,0,서울특별시 종로구 궁정동 3-6번지,3,11110, 
10300, ,0003,20180726,0,0,0,0,0,0018, ,11110-100030086,0,0,0,0,0,2,0,0,0,서울특별시 종로구 궁정동 3-18번지,4,11110, 
10300, ,0004,20140429,0,0,0,0,0,0001, ,11110-100019858,0,0,0,0,0,9,0,0,0,서울특별시 종로구 궁정동 4-1번지,5,11110, 
10300, ,0008,20140123,0,0,0,0,0,0001, ,11110-100014044,0,0,0,0,57.5,5,0,0,0,서울특별시 종로구 궁정동 8-1번지,6,11110, 
10300, ,0029,20110107,0,0,0,0,0,0002, ,11110-100011213,0,0,0,0,0,1,0,0,0,서울특별시 종로구 궁정동 29-2번지,7,11110, 
10300, ,0029,20130403,0,0,0,0,0,0002, ,11110-100013346,0,0,0,0,12,1,0,0,0,서울특별시 종로구 궁정동 29-2번지,8,11110, 
10400, ,0033,20181212,1,0,0,0,0,0001, ,11110-100028855,0,0,0,0,0,0,0,0,0,서울특별시 종로구 효자동 33-1번지,1,11110, 
10400, ,0034,20141017,0,23,2,0,0,0001, ,11110-1502,0,0,0,0,0,0,0,0,0,서울특별시 종로구 효자동 34-1번지,2,11110, 
10400, ,0038,20090326,0,0,0,0,0,0000, ,11110-1068,0,0,0,0,92,8,0,0,0,서울특별시 종로구 효자동 38번지,3,11110, 
10400, ,0038,20090326,0,15.43,1,0,0,0000, ,11110-3394,0,0,0,0,81,7,0,0,0,서울특별시 종로구 효자동 38번지,4,11110, 
