archGbCd,archGbCdNm,bjdongCd,bldNm,block,bun,crtnDay,flrArea,flrGbCd,flrGbCdNm,flrNo,ji,lot,mainPurpsCd,mainPurpsCdNm,mgmDongOulnPk,mgmFlrOulnPk,mgmPmsrgstPk,platGbCd,platPlc,rnum,sigunguCd,splotNm,strctCd,strctCdNm
0200,증축,10500,유니세프한국위원회 사옥, ,0017,20150207,191.74,20,지상,4,0001, ,14299,기타일반업무시설,11110-100010229,11110-100018178,11110-100011564,0,서울특별시 종로구 창성동 17-1번지,5,11110, ,21,철근콘크리트구조
0200,증축,10500,유니세프한국위원회 사옥, ,0017,20150207,219.97,20,지상,1,0001, ,14299,기타일반업무시설,11110-100010229,11110-100018179,11110-100011564,0,서울특별시 종로구 창성동 17-1번지,6,11110, ,21,철근콘크리트구조
0100,신축,10500,유니세프 한국위원회 사옥, ,0017,20170209,267.87,10,지하,2,0001, ,14299,기타일반업무시설,11110-3447,11110-15670,11110-2866,0,서울특별시 종로구 창성동 17-1번지,7,11110, ,21,철근콘크리트구조
0100,신축,10500,유니세프 한국위원회 사옥, ,0017,20170209,241.1,10,지하,1,0001, ,14299,기타일반업무시설,11110-3447,11110-15671,11110-2866,0,서울특별시 종로구 창성동 17-1번지,8,11110, ,21,철근콘크리트구조
0100,신축,10500,유니세프 한국위원회 사옥, ,0017,20170209,195.82,20,지상,1,0001, ,14299,기타일반업무시설,11110-3447,11110-15672,11110-2866,0,서울특별시 종로구 창성동 17-1번지,9,11110, ,21,철근콘크리트구조
0100,신축,10500,유니세프 한국위원회 사옥, ,0017,20170209,252.76,20,지상,2,0001, ,14299,기타일반업무시설,11110-3447,11110-15673,11110-2866,0,서울특별시 종로구 창성동 17-1번지,10,11110, ,21,철근콘크리트구조
0700,용도변경,10600, , ,0001,20090326,42.78,20,지상,1,0001, ,04001,일반음식점,11110-100006139,11110-100009678,11110-100006488,0,서울특별시 종로구 통의동 1-1번지,1,11110, ,51,일반목구조
0700,용도변경,10600,통인동 1-7 제1종근린생활시설 (이유경), ,0001,20140322,71.52,20,지상,1,0007, ,03002,휴게음식점,11110-100018742,11110-100036204,11110-100019465,0,서울특별시 종로구 통의동 1-7번지,2,11110, ,11,벽돌구조
0700,용도변경,10600,통인동 1-7 제1종근린생활시설 (이유경), ,0001,20140322,61.32,20,지상,2,0007, ,04402,사무소,11110-100018742,11110-100036205,11110-100019465,0,서울특별시 종로구 통의동 1-7번지,3,11110, ,11,벽돌구조
0100,신축,10600,통의동 2-1번지 근린생활시설, ,0002,20170413,138.54,10,지하,2,0001, ,04999,기타제2종근린생활시설,11110-100027698,11110-100054210,11110-100011855,0,서울특별시 종로구 통의동 2-1번지,4,11110, ,21,철근콘크리트구조
0100,신축,10600,통의동 2-1번지 근린생활시설, ,0002,20170413,122.51,20,지상,2,0001, ,04001,일반음식점,11110-100027698,11110-100054211,11110-100011855,0,서울특별시 종로구 통의동 2-1번지,5,11110, ,21,철근콘크리트구조
0100,신축,10600,통의동 2-1번지 근린생활시설, ,0002,20170413,50.85,10,지하,3,0001, ,04999,기타제2종근린생활시설,11110-100027698,11110-100054212,11110-100011855,0,서울특별시 종로구 통의동 2-1번지,6,11110, ,21,철근콘크리트구조
0100,신축,10600,통의동 2-1번지 근린생활시설, ,0002,20170413,93.26,20,지상,1,0001, ,04001,일반음식점,11110-100027698,11110-100054213,11110-100011855,0,서울특별시 종로구 통의동 2-1번지,7,11110, ,21,철근콘크리트구조
0100,신축,10600,통의동 2-1번지 근린생활시설, ,0002,20170413,32.88,10,지하,1,0001, ,04999,기타제2종근린생활시설,11110-100027698,11110-100054214,11110-100011855,0,서울특별시 종로구 통의동 2-1번지,8,11110, ,21,철근콘크리트구조
0100,신축,10600,통의동 2-1번지 근린생활시설, ,0002,20170413,32.45,20,지상,1,0001, ,04999,기타제2종근린생활시설,11110-100027698,11110-100054215,11110-100011855,0,서울특별시 종로구 통의동 2-1번지,9,11110, ,21,철근콘크리트구조
0100,신축,10600,통의동 2-1번지 근린생활시설, ,0002,20170413,103.85,20,지상,4,0001, ,01001,단독주택,11110-100027698,11110-100054216,11110-100011855,0,서울특별시 종로구 통의동 2-1번지,10,11110, ,21,철근콘크리트구조
0100,신축,10700,古都, ,0001,20090326,299.05,10,지하,1,0000, ,04399,기타공연장,11110-2975,11110-13927,11110-2442,0,서울특별시 종로구 적선동 1번지,1,11110, ,21,철근콘크리트구조
0100,신축,10700,古都, ,0001,20090326,157.65,20,지상,1,0000, ,05499,기타전시장,11110-2975,11110-13928,11110-2442,0,서울특별시 종로구 적선동 1번지,2,11110, ,21,철근콘크리트구조
0100,신축,10700,古都, ,0001,20090326,118.65,20,지상,2,0000, ,03001,소매점,11110-2975,11110-13929,11110-2442,0,서울특별시 종로구 적선동 1번지,3,11110, ,21,철근콘크리트구조
0100,신축,10700,古都, ,0001,20090326,237.44,20,지상,3,0000, ,05499,기타전시장,11110-2975,11110-13930,11110-2442,0,서울특별시 종로구 적선동 1번지,4,11110, ,21,철근콘크리트구조
0100,신축,10700,古都, ,0001,20090326,246.17,20,지상,4,0000, ,04402,사무소,11110-2975,11110-13931,11110-2442,0,서울특별시 종로구 적선동 1번지,5,11110, ,21,철근콘크리트구조
0100,신축,10700,古都, ,0001,20090326,246.17,20,지상,5,0000, ,04402,사무소,11110-2975,11110-13932,11110-2442,0,서울특별시 종로구 적선동 1번지,6,11110, ,21,철근콘크리트구조
0600,대수선,10700,적선동 17, ,0017,20120815,77.59,20,지상,1,0000, ,03002,휴게음식점,11110-100014745,11110-100028587,11110-100016190,0,서울특별시 종로구 적선동 17번지,7,11110, ,51,일반목구조
0600,대수선,10700,적선동 17, ,0017,20120815,69.06,20,지상,2,0000, ,03003, ,11110-100014745,11110-100028588,11110-100016190,0,서울특별시 종로구 적선동 17번지,8,11110, ,51,일반목구조
0100,신축,10700,하늘빌딩, ,0019,20160610,128.12,20,지상,2,0000, ,04001,일반음식점,11110-100025206,11110-100049009,11110-100021517,0,서울특별시 종로구 적선동 19번지,9,11110, ,21,철근콘크리트구조
0100,신축,10700,하늘빌딩, ,0019,20160610,121.46,10,지하,1,0000, ,04001,일반음식점,11110-100025206,11110-100049010,11110-100021517,0,서울특별시 종로구 적선동 19번지,10,11110, ,21,철근콘크리트구조
